function,file,line,package,verdict,design_score,test_score,quality_score,test_quality,tests_executing,direct_tests,cov_all_pct,mutants_killed,mutants_total,trivial,verified,top_issue
main,cmd/clusterctl/main.go,18,cmd/clusterctl,good,5,4,9,strong,0,TestInterruptExits130 TestCtrlCAtAPromptExits130,100.0,,,True,,
interruptContext,cmd/clusterctl/main.go,35,cmd/clusterctl,good,5,5,10,strong,0,TestSecondInterruptEndsTheProcess TestInterruptExits130,100.0,,,False,,
Duration.Get,internal/apis/v1alpha1/duration.go,18,internal/apis/v1alpha1,good,5,4,9,strong,366,TestDurationRoundTrip,100.0,,,True,,
Duration.Or,internal/apis/v1alpha1/duration.go,21,internal/apis/v1alpha1,good,5,5,10,strong,345,TestDurationOr,100.0,1,1,False,,
Duration.String,internal/apis/v1alpha1/duration.go,29,internal/apis/v1alpha1,good,5,4,9,strong,4,TestDurationRoundTrip,100.0,,,True,,
Duration.MarshalJSON,internal/apis/v1alpha1/duration.go,32,internal/apis/v1alpha1,good,5,4,9,strong,3,TestDurationRoundTrip,100.0,,,True,,
Duration.UnmarshalJSON,internal/apis/v1alpha1/duration.go,35,internal/apis/v1alpha1,good,5,4,9,strong,341,TestDurationRoundTrip TestDurationRejectsBadValues,100.0,3,3,False,,
Duration.MarshalYAML,internal/apis/v1alpha1/duration.go,44,internal/apis/v1alpha1,nit,4,0,4,none,0,,0.0,,,True,,"Dead code. YAML output goes through JSON (internal/output/yaml.go:writeYAML), and goccy's Marshal is never used on config types. The doc names yaml.Marshaler, but goccy/go-yaml (the only YAML dependency) calls it InterfaceMarshaler."
Duration.UnmarshalYAML,internal/apis/v1alpha1/duration.go,47,internal/apis/v1alpha1,nit,4,0,4,none,0,,0.0,,,False,downgraded,"Unreachable in the program: config decoding goes YAML AST -> map -> json.Marshal -> json.Decoder (config/effective.go:277-281), so only UnmarshalJSON runs. A maintainer who tightens validation here would change nothing. It also copies UnmarshalJSON's logic without tests."
Duration.parse,internal/apis/v1alpha1/duration.go,55,internal/apis/v1alpha1,good,5,3,8,adequate,341,TestDurationRejectsBadValues TestDurationRoundTrip,100.0,4,4,False,,
Duration.JSONSchemaAlias,internal/apis/v1alpha1/duration.go,69,internal/apis/v1alpha1,good,5,4,9,strong,359,TestValidationRejectsWrongTypesAndVersions,100.0,,,True,,
Layers,internal/apis/v1alpha1/effective.go,40,internal/apis/v1alpha1,nit,4,3,7,adequate,1,TestLayersAndKindsAreComplete,100.0,,,True,,"Only types_test.go calls it. The real merge order is hard-coded in config/effective.go:106-153, so Layers() can drift from what is actually applied and nothing would notice."
Kinds,internal/apis/v1alpha1/register.go,22,internal/apis/v1alpha1,good,5,4,9,strong,382,TestLayersAndKindsAreComplete,100.0,,,True,,
KnownKind,internal/apis/v1alpha1/register.go,41,internal/apis/v1alpha1,good,4,4,8,strong,358,TestLayersAndKindsAreComplete TestCheckTypeMeta,100.0,3,3,False,,"The six-line loop duplicates slices.Contains, which the codebase already uses elsewhere. Cosmetic only."
CheckTypeMeta,internal/apis/v1alpha1/register.go,51,internal/apis/v1alpha1,good,5,5,10,strong,357,TestCheckTypeMeta,100.0,6,6,False,,
SecretKeyRef.String,internal/apis/v1alpha1/types.go,428,internal/apis/v1alpha1,good,5,3,8,adequate,3,,100.0,,,True,,
DefaultStreams,internal/app/app.go,65,internal/app,good,5,3,8,adequate,0,,100.0,,,False,,
ensureDirs,internal/app/app.go,157,internal/app,good,5,4,9,strong,318,TestNoStateDirectoryIsRefused,88.9,5,5,False,,
New,internal/app/app.go,180,internal/app,nit,4,3,7,adequate,333,TestNewResolvesEverything TestNewReportsAMissingConfiguration,92.5,4,8,False,,"This block cannot be reached. defaults.yaml always sets fanout.max, and Resolve's schema check already refuses 0 and -1 from --set, the environment, context overrides and --fanout (verified with the binary: '--set: fanout.max: minimum: got 0, want 1'). The comment says the schema does not see those layers, which is no longer true."
App.absoluteCommandLinePaths,internal/app/app.go,340,internal/app,bug,2,2,4,weak,316,TestCommandLinePathsResolveAgainstTheWorkingDirectory,80.0,1,8,False,upheld,"workstation.sopsBinary is not in the list, and sopsLocked resolves it with a.Path. Verified: CLUSTERCTL_SOPS_BINARY=tools/sops, run from a directory that holds tools/sops, runs <site>/tools/sops and fails with 'no such file'. doc/configuration.md says environment paths resolve against the working directory. The credential file/command paths set with --set are also resolved against the site."
App.loadInventory,internal/app/app.go,381,internal/app,good,5,3,8,adequate,316,,91.7,3,4,False,,
clusterInventories,internal/app/app.go,409,internal/app,good,5,4,9,strong,317,TestClusterInventoriesThatDoNotDecodeAreReported TestClusterNamingNoInventoryNeverReadsAnotherSite,95.5,6,8,False,,
App.CheckClusters,internal/app/app.go,448,internal/app,good,5,4,9,strong,11,TestClusterNamingNoInventoryNeverReadsAnotherSite,100.0,2,2,False,,
App.Path,internal/app/app.go,460,internal/app,good,5,5,10,strong,310,TestPathResolvesAgainstTheSiteDocument TestCommandLinePathsResolveAgainstTheWorkingDirectory,100.0,,,True,,
absolute,internal/app/app.go,469,internal/app,good,5,3,8,adequate,310,,80.0,2,2,False,,
App.Role,internal/app/app.go,480,internal/app,good,5,4,9,strong,150,TestRole,75.0,4,6,False,,
App.RoleNames,internal/app/app.go,503,internal/app,good,5,2,7,weak,12,,100.0,,,False,,
App.Node,internal/app/app.go,514,internal/app,good,5,4,9,strong,51,TestNodeAppliesTheNamingRules,75.0,1,2,False,,
App.NodeTargets,internal/app/app.go,523,internal/app,good,5,3,8,adequate,50,,85.7,1,2,False,,
App.Select,internal/app/app.go,541,internal/app,good,5,4,9,strong,205,TestSelectResolvesGroupsAndCanonicalisesNames TestSelectNamesMachinesNotSpellings TestSelectKeepsAnAmbiguousNameAsWritten TestANodeSetArgumentAndTheNodesFlagContradict TestANodeSetArgumentWinsOverTheEnvironment,90.9,6,8,False,,
checkHostNames,internal/app/app.go,587,internal/app,good,5,5,10,strong,195,TestNodeNamesThatAreOptionsAreRefused TestNodeNamesThatRedirectARedfishRequestAreRefused,100.0,2,2,False,,
App.canonicalize,internal/app/app.go,606,internal/app,good,5,4,9,strong,305,TestSelectNamesMachinesNotSpellings TestOneMachineNamedTwiceIsOneTarget,83.3,1,2,False,,
App.SelectOptional,internal/app/app.go,620,internal/app,good,5,3,8,adequate,12,TestSelectOptional,100.0,1,1,False,,
App.Executor,internal/app/app.go,628,internal/app,good,5,3,8,adequate,42,,100.0,,,True,,
App.Timeout,internal/app/app.go,633,internal/app,nit,4,3,7,adequate,307,,100.0,,,True,,"Returning the configuration type leaks it: almost every caller writes a.Timeout().Get(), and only one uses .Or(30*time.Minute)."
App.DryRun,internal/app/app.go,636,internal/app,good,5,3,8,adequate,59,,100.0,,,True,,
App.Print,internal/app/app.go,640,internal/app,good,5,3,8,adequate,136,,100.0,,,True,,
App.Printf,internal/app/app.go,646,internal/app,nit,4,3,7,adequate,44,,100.0,,,True,,"Print writes to stdout but Printf writes to stderr. A caller that uses a.Printf to emit data would put it on stderr, outside parsed output. Only the doc comment tells the two apart."
App.StatePath,internal/app/app.go,653,internal/app,good,5,0,5,none,0,,0.0,,,True,,
decode,internal/app/app.go,658,internal/app,good,4,4,8,strong,317,,100.0,,,True,,A one-line alias that adds a name but no behaviour; readers must look it up to learn it is config.Decode.
App.Context,internal/app/app.go,663,internal/app,good,5,3,8,adequate,205,,66.7,,,True,,
App.IdentityPaths,internal/app/app.go,671,internal/app,nit,4,3,7,adequate,18,,100.0,,,False,,"The doc says 'as absolute paths', but with a relative --config the result is relative. TestCommandLinePaths' 'document' case even expects a relative Path. secrets.IdentityFiles calls filepath.Abs itself, so only the stated contract is wrong."
App.Credentials,internal/app/bmc.go,29,internal/app,nit,4,4,8,strong,37,TestRedfishClientsAreBuiltConcurrently,100.0,,,False,,"The resolver gets raw workstation.identities and reads and resolves them itself (credentials.go:220-251), duplicating App.Identities' single read. Commit f7b2ad4 records this as known and tracks it as #90 measure 19."
App.promptPassword,internal/app/bmc.go,45,internal/app,good,5,3,8,adequate,0,TestCtrlCAtAPromptExits130,75.0,,,False,,
